ENTIDAD,NOMBRE ENTIDAD,DISTRITO,MUNICIPIO,NOMBRE MUNICIPIO,LOCALIDAD,NOMBRE LOCALIDAD,full_distrito
15,MEXICO,19,105,TLALNEPANTLA DE BAZ,1,TLALNEPANTLA DE BAZ,19-TLALNEPANTLA DE BAZ
15,MEXICO,20,60,NEZAHUALCOYOTL,1,CD. NEZAHUALCOYOTL,20-NEZAHUALCOYOTL
15,MEXICO,21,9,AMECAMECA,1,AMECAMECA DE JUAREZ,21-AMECAMECA
15,MEXICO,22,58,NAUCALPAN DE JUAREZ,1,NAUCALPAN DE JUAREZ,22-NAUCALPAN DE JUAREZ
15,MEXICO,23,52,LERMA,1,LERMA DE VILLADA,23-LERMA
15,MEXICO,24,58,NAUCALPAN DE JUAREZ,1,NAUCALPAN DE JUAREZ,24-NAUCALPAN DE JUAREZ
15,MEXICO,25,32,CHIMALHUACAN,1,CHIMALHUACAN,25-CHIMALHUACAN
15,MEXICO,26,107,TOLUCA,1,TOLUCA DE LERDO,26-TOLUCA
15,MEXICO,27,55,METEPEC,1,METEPEC,27-METEPEC
15,MEXICO,28,121,ZUMPANGO,1,ZUMPANGO DE OCAMPO,28-ZUMPANGO
15,MEXICO,29,60,NEZAHUALCOYOTL,1,CD. NEZAHUALCOYOTL,29-NEZAHUALCOYOTL
15,MEXICO,30,32,CHIMALHUACAN,1,CHIMALHUACAN,30-CHIMALHUACAN
15,MEXICO,31,60,NEZAHUALCOYOTL,1,CD. NEZAHUALCOYOTL,31-NEZAHUALCOYOTL
15,MEXICO,32,122,VALLE DE CHALCO SOLIDARIDAD,2,VALLE DE CHALCO SOLIDARIDAD,32-VALLE DE CHALCO SOLIDARIDAD
15,MEXICO,33,26,CHALCO,1,CHALCO DE DIAZ COVARRUBIAS,33-CHALCO
15,MEXICO,34,107,TOLUCA,1,TOLUCA DE LERDO,34-TOLUCA
15,MEXICO,35,89,TENANCINGO,1,TENANCINGO DE DEGOLLADO,35-TENANCINGO
15,MEXICO,36,83,TEJUPILCO,1,TEJUPILCO DE HIDALGO,36-TEJUPILCO
15,MEXICO,37,24,CUAUTITLAN,1,CUAUTITLAN,37-CUAUTITLAN
15,MEXICO,38,100,TEXCOCO,1,TEXCOCO DE MORA,38-TEXCOCO
15,MEXICO,39,71,LA PAZ,1,LOS REYES ACAQUILPAN,39-LA PAZ
15,MEXICO,40,119,ZINACANTEPEC,1,SAN MIGUEL ZINACANTEPEC,40-ZINACANTEPEC
15,MEXICO,41,82,TECAMAC,2,OJO DE AGUA,41-TECAMAC
